Id,Name,Type,Industry,Phone,Website,CreatedDate,LastModifiedDate
001g700000JogcFAAR,Edge Communications,Customer - Direct,Electronics,(512) 757-6000,http://edgecomm.com,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcGAAR,Burlington Textiles Corp of America,Customer - Direct,Apparel,(336) 222-7000,www.burlington.com,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcHAAR,Pyramid Construction Inc.,Customer - Channel,Construction,(014) 427-4427,www.pyramid.com,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcIAAR,Dickenson plc,Customer - Channel,Consulting,(785) 241-6200,dickenson-consulting.com,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcJAAR,Grand Hotels & Resorts Ltd,Customer - Direct,Hospitality,(312) 596-1000,www.grandhotels.com,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcKAAR,United Oil & Gas Corp.,Customer - Direct,Energy,(212) 842-5500,http://www.uos.com,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcLAAR,Express Logistics and Transport,Customer - Channel,Transportation,(503) 421-7800,www.expressl&t.net,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcMAAR,University of Arizona,Customer - Direct,Education,(520) 773-9050,www.universityofarizona.com,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcNAAR,"United Oil & Gas, UK",Customer - Direct,Energy,+44 191 4956203,http://www.uos.com,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcOAAR,"United Oil & Gas, Singapore",Customer - Direct,Energy,(650) 450-8810,http://www.uos.com,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcPAAR,GenePoint,Customer - Channel,Biotechnology,(650) 867-3450,www.genepoint.com,2026-05-15T08:24:40.000+0000,2026-05-16T13:22:06.000+0000
001g700000JogcQAAR,sForce,,,(415) 901-7000,www.sforce.com,2026-05-15T08:24:40.000+0000,2026-05-15T08:24:40.000+0000
001g700000JogcRAAR,Sample Account for Entitlements,,,,,2026-05-15T08:24:40.000+0000,2026-05-15T08:24:40.000+0000
001g700000QG6X7AAL,TEST KAFKA,Prospect,Biotechnology,,,2026-06-10T15:13:17.000+0000,2026-06-10T15:13:17.000+0000
